"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NSUN7",0,-0.18560570377778,0.052,0.221,0
"CNGA1",0,-0.130835691329544,0.063,0.174,0
"LNX1",0,-0.174791163454338,0.044,0.2,0
"AASDH",0,-0.227450608361057,0.342,0.475,0
"SRP72",0,-0.261455165808155,0.662,0.722,0
"HOPX",0,-0.483911021986412,0.064,0.278,0
"SPINK2",0,-0.112712954929651,0.043,0.127,0
"ADGRL3",0,-0.336293230545094,0.21,0.336,0
"AC116049.2",0,-0.44748466165102,0.162,0.4,0
"CENPC",0,-0.297543077253835,0.333,0.485,0
"UBA6-AS1",0,-0.475581139948408,0.476,0.677,0
"TMPRSS11D",0,-0.276806530275753,0.064,0.258,0
"TMPRSS11A",0,-0.388726610257734,0.02,0.232,0
"YTHDC1",0,-0.350512495772445,0.56,0.7,0
"SULT1E1",0,-0.689012697365555,0.008,0.208,0
"RUFY3",0,-0.435539414070082,0.417,0.612,0
"GRSF1",0,-0.220096311867969,0.561,0.66,0
"ANKRD17",0,-0.435699170137857,0.76,0.855,0
"AC053527.2",0,-0.32849912219477,0.238,0.423,0
"RASSF6",0,-0.561938359655376,0.398,0.542,0
"CXCL8",0,-0.513707897651224,0.237,0.407,0
"CXCL6",0,-0.536495936971,0.006,0.258,0
"CXCL1",0,-1.66642445655282,0.233,0.598,0
"CXCL3",0,-0.369545047322264,0.131,0.24,0
"EREG",0,0.971790624869269,0.445,0.111,0
"AREG",0,1.25975648775342,0.775,0.474,0
"ART3",0,-0.179083271191696,0.024,0.15,0
"CXCL10",0,-0.359997453507144,0.074,0.199,0
"NUP54",0,-0.220418165863887,0.46,0.565,0
"HNRNPD",0,-0.358218395637724,0.815,0.879,0
"TMEM150C",0,-0.241786599900472,0.036,0.229,0
"HSD17B11",0,-0.372555772636982,0.1,0.335,0
"SPARCL1",0,-0.682624842636121,0.115,0.338,0
"SPP1",0,-0.465127631851769,0.009,0.195,0
"PKD2",0,-0.245183655993888,0.451,0.563,0
"HERC6",0,0.23746074400101,0.284,0.171,0
"AC093866.1",0,0.157934632725058,0.179,0.063,0
"SNCA",0,0.282671906512148,0.604,0.386,0
"BMPR1B",0,-1.06273513461319,0.141,0.438,0
"TSPAN5",0,0.374595339840005,0.696,0.577,0
"AP002026.1",0,-0.261562641843942,0.21,0.356,0
"PPA2",0,-0.311484660737203,0.614,0.755,0
"LEF1",0,0.114835931064429,0.16,0.07,0
"RPL34",0,-0.509431089861748,0.992,0.993,0
"UGT8",0,-0.105503709799617,0.018,0.132,0
"SEC24D",0,-0.225099983156641,0.196,0.363,0
"SYNPO2",0,-1.0571149008633,0.059,0.491,0
"C4orf3",0,0.323944889698647,0.958,0.872,0
"PRDM5",0,0.116901162951366,0.244,0.115,0
