"","column","cor","p.adj"
"433","AGO1",-0.146167496299308,1
"434","AGO2",0.0429138888589651,1
"435","AGO3",0.131833478606937,1
"436","AGO4",-0.149953100378993,1
"437","AGPAT1",-0.12403835595066,1
"438","AGPAT2",0.291563431738966,1
"439","AGPAT3",0.133613072024554,1
"440","AGPAT4",-0.146334294988401,1
"441","AGPAT5",-0.0568634461438375,1
"442","AGPS",-0.00283815516499915,1
"443","AGR2",0.286398729473765,1
"444","AGR3",0.144225494001473,1
"445","AGRN",0.410406080712216,0.697998682742906
"446","AGRP",-0.0329098541653621,1
"447","AGT",-0.0760660846733192,1
"448","AGTPBP1",0.0119066369269901,1
"449","AGTR1",-0.251333629952472,1
"450","AGTR2",-0.0505470480158272,1
"451","AGTRAP",0.427762535387244,0.297311463339047
"452","AGXT",-0.0585564577117191,1
"453","AGXT2",-0.080102438318476,1
"454","AHCTF1",-0.00615255395645577,1
"455","AHCY",0.0953054189783792,1
"456","AHCYL1",-0.0244755978924925,1
"457","AHCYL2",-0.168720536333298,1
"458","AHDC1",0.157241117359366,1
"459","AHI1",-0.102603422750789,1
"460","AHNAK",0.150750990355408,1
"461","AHNAK2",0.275623976478807,1
"462","AHR",0.313192043461628,1
"463","AHRR",-0.218266728009091,1
"464","AHSA1",0.0926381505970531,1
"465","AHSG",0.073841786247469,1
"466","AHSP",-0.0361722339525256,1
"467","AICDA",0.000352909451491048,1
"468","AIDA",0.076899387593505,1
"469","AIF1",-0.0291676435598491,1
"470","AIF1L",0.123755896852678,1
"471","AIFM1",-0.186357814396733,1
"472","AIFM2",-0.0191217436417451,1
"473","AIFM3",0.0249328952056102,1
"474","AIG1",0.371953694760565,1
"475","AIM2",0.305369036089527,1
"476","AIMP1",0.169951566409887,1
"477","AIMP2",0.096768210530592,1
"478","AIP",0.090077164004681,1
"479","AIPL1",0.269890824716407,1
"480","AIRE",-0.177408462126561,1
"481","AJAP1",0.130558942174184,1
"482","AJM1",-0.151868792905198,1
"483","AJUBA",0.183638546038492,1
"484","AK1",0.21449793704793,1
"485","AK2",0.348483841054784,1
"486","AK3",0.0896371679026201,1
"487","AK4",0.41198929152848,0.64687356596964
"488","AK4P3",-0.0607196971669595,1
"489","AK5",-0.446813132782037,0.110148080086647
"490","AK6",-0.00246372652786427,1
"491","AK7",-0.075853452012402,1
"492","AK8",0.12329071594329,1
"493","AK9",-0.0793566942777389,1
"494","AKAIN1",-0.148767293267151,1
"495","AKAP1",-0.0287460104402656,1
"496","AKAP10",0.0995054657469884,1
"497","AKAP11",0.0853339696107389,1
"498","AKAP12",0.0866859847340368,1
"499","AKAP13",0.0674753017710834,1
"500","AKAP14",-0.131139068848017,1
"501","AKAP17A",-0.123631566278469,1
"502","AKAP3",0.0494592151201332,1
"503","AKAP4",-0.0188061630370782,1
"504","AKAP5",-0.314209721275892,1
"505","AKAP6",0.104119071825462,1
"506","AKAP7",-0.113516305911028,1
"507","AKAP8",-0.0724428196388294,1
"508","AKAP8L",0.225176293715291,1
"509","AKAP9",-0.0908362301008525,1
"510","AKIP1",0.0619343911211513,1
"511","AKIRIN1",0.306490897772718,1
"512","AKIRIN2",0.0708523914557001,1
"513","AKNA",0.357669402949355,1
"514","AKNAD1",0.199032322227915,1
"515","AKR1A1",0.189328695361203,1
"516","AKR1B1",-0.177368104256779,1
"517","AKR1B10",-0.054030785035646,1
"518","AKR1B15",-0.0636672129801311,1
"519","AKR1C1",-0.0752376219900948,1
"520","AKR1C2",-0.0244308736991817,1
"521","AKR1C3",-0.0450535260101098,1
"522","AKR1C4",-0.229041937598287,1
"523","AKR1C8",-0.279705347217301,1
"524","AKR1D1",0.0808106246966159,1
"525","AKR1E2",-0.2603473446902,1
"526","AKR7A2",0.0402767473595982,1
"527","AKR7A3",0.0494975431103586,1
"528","AKR7L",-0.193405895948667,1
"529","AKT1",0.0695066087624157,1
"530","AKT1S1",0.0252007027374299,1
"531","AKT2",-0.185415769986315,1
"532","AKT3",-0.128640828806975,1
"533","AKTIP",0.21678891899253,1
"534","ALAD",-0.216640535850004,1
"535","ALAS1",0.0710961176413895,1
"536","ALAS2",0.137554982180381,1
"537","ALB",-0.150721230501489,1
"538","ALCAM",0.256468850836016,1
"539","ALDH16A1",0.0213684785279092,1
"540","ALDH18A1",0.0331335104111655,1
"541","ALDH1A1",-0.266165927670987,1
"542","ALDH1A2",0.185458369760369,1
"543","ALDH1A3",0.329976133325551,1
"544","ALDH1B1",-0.130529726950072,1
"545","ALDH1L1",-0.0583616980483897,1
"546","ALDH1L2",-0.0364534117010644,1
"547","ALDH2",-0.114955923478705,1
"548","ALDH3A1",-0.0725427408472214,1
"549","ALDH3A2",-0.0216268424809978,1
"550","ALDH3B1",0.098464381241607,1
"551","ALDH3B2",0.207356613023056,1
"552","ALDH4A1",0.0981794132227357,1
"553","ALDH5A1",-0.353585808369843,1
"554","ALDH6A1",0.0336700340338223,1
"555","ALDH7A1",-0.0475298878449632,1
"556","ALDH8A1",-0.0893765605987805,1
"557","ALDH9A1",-0.189642622244906,1
"558","ALDOA",0.178738652990471,1
"559","ALDOB",0.0283548395957711,1
"560","ALDOC",0.0344527110740047,1
"561","ALG1",-0.0113704368798202,1
"562","ALG10",-0.0800012611567481,1
"563","ALG10B",-0.0629084500586993,1
"564","ALG11",-0.178257296202058,1
"565","ALG12",0.065372312177056,1
"566","ALG13",-0.0138239977974973,1
"567","ALG14",0.0574606051555616,1
"568","ALG1L2",-0.0454397015159048,1
"569","ALG2",0.431663563868656,0.243695429659826
"570","ALG3",0.107928875643299,1
"571","ALG5",0.121581376811694,1
"572","ALG6",-0.121909825144873,1
"573","ALG8",0.133589963431029,1
"574","ALG9",-0.0201651145895733,1
"575","ALK",-0.0675959285555243,1
"576","ALKAL1",-0.0632122786546073,1
"577","ALKAL2",-0.1302383275012,1
"578","ALKBH1",0.153883595610201,1
"579","ALKBH2",-0.0968647309642558,1
"580","ALKBH3",0.147694224710977,1
"581","ALKBH4",-0.234208394644937,1
"582","ALKBH5",-0.0123395007543613,1
"583","ALKBH6",0.149519464033115,1
"584","ALKBH7",-0.0549013295049404,1
"585","ALKBH8",-0.172857749045981,1
"586","ALLC",-0.0378470675881349,1
"587","ALMS1",-0.211728020097815,1
"588","ALOX12",-0.17811928933626,1
"589","ALOX12B",0.0641948913280752,1
"590","ALOX15",0.0355154128776872,1
"591","ALOX15B",0.245145276266235,1
"592","ALOX5",0.174897833574105,1
"593","ALOX5AP",0.225048430685512,1
"594","ALOXE3",0.656188685487422,1.03822821852723e-08
"595","ALPG",0.160392791947476,1
"596","ALPI",-0.0922618474240333,1
"597","ALPK1",0.342362433846517,1
"598","ALPK2",-0.217979325816145,1
"599","ALPK3",0.167394094733211,1
"600","ALPL",-0.147180659295348,1
"601","ALPP",0.255892262809544,1
"602","ALS2",-0.271528112516223,1
"603","ALS2CL",0.467790598053549,0.0342957870716251
"604","ALX1",-0.148857223393109,1
"605","ALX3",0.104976226396645,1
"606","ALX4",-0.27981740086897,1
"607","ALYREF",-0.0963825908032652,1
"608","AMACR",-0.26609550301754,1
"609","AMBN",-0.0188061630370782,1
"610","AMBP",-0.0315541195769856,1
"611","AMBRA1",0.115193600271492,1
"612","AMD1",0.0459066189810862,1
"613","AMDHD1",0.105892522197446,1
"614","AMDHD2",-0.0519918245661164,1
"615","AMELX",-0.0391828274823968,1
"616","AMELY",-0.204114022769799,1
"617","AMER1",-0.163674446112747,1
"618","AMER2",-0.0526572565038189,1
"619","AMER3",-0.0804642937247726,1
"620","AMFR",0.130289169904955,1
"621","AMH",-0.437298792129648,0.182284748574938
"622","AMHR2",-0.0199174174416792,1
"623","AMIGO1",-0.114589241798838,1
"624","AMIGO2",0.202228474642702,1
"625","AMIGO3",-0.357408455226596,1
"626","AMMECR1",0.144817063298676,1
