"","column","cor","p.adj","corr_order","label"
"8967","KRT14",0.453710730654756,0.0756814944568246,8921,"KRT14"
"8968","KRT15",0.30488598664595,1,8012,""
"8969","KRT16",0.393362989770853,1,8709,""
"8970","KRT17",0.325014960490768,1,8246,""
"8971","KRT18",0.329481589324904,1,8293,""
"8972","KRT19",0.19118408712328,1,6122,"KRT19"
"8974","KRT20",0.219363878935551,1,6713,""
"8975","KRT222",0.0592595414542339,1,2262,""
"8976","KRT23",0.226456111555842,1,6853,""
"8977","KRT24",0.120522839112273,1,4317,""
"8978","KRT25",0.117358408070364,1,4236,""
"8980","KRT27",0.273394496422318,1,7595,""
"8982","KRT3",0.110614103407922,1,4041,""
"8983","KRT31",0.332964067274463,1,8327,""
"8984","KRT32",0.187380534336718,1,6030,""
"8985","KRT33A",0.0101186794864916,1,391,""
"8986","KRT33B",0.0253944796172059,1,993,""
"8987","KRT34",0.295042446995404,1,7888,""
"8988","KRT35",0.0163502619100032,1,661,""
"8989","KRT36",0.0242545844756434,1,954,""
"8990","KRT37",0.37279032271601,1,8606,""
"8993","KRT4",0.0707039728713745,1,2667,""
"8995","KRT5",0.277778166793606,1,7656,""
"8996","KRT6A",0.389144185088205,1,8687,"KRT6A"
"8997","KRT6B",0.405426489897573,0.883391708335274,8751,""
"8998","KRT6C",0.348439744863879,1,8442,""
"9004","KRT75",0.24492263692312,1,7170,""
"9005","KRT76",0.0445571417750727,1,1716,""
"9006","KRT77",0.0249657142482626,1,977,""
"9007","KRT78",0.178443582721099,1,5831,""
"9008","KRT79",0.119766880022041,1,4290,""
"9009","KRT8",0.265273413174283,1,7479,""
"9010","KRT80",0.329271621449984,1,8291,""
"9011","KRT81",0.207175583340039,1,6480,""
"9012","KRT82",0.100230613383979,1,3718,""
"9013","KRT83",0.0194316576705396,1,773,""
"9014","KRT84",0.00907677147673692,1,355,""
"9016","KRT86",0.142142010339117,1,4914,""
"9017","KRT9",0.346961897442907,1,8431,""
"9021","KRTAP1-5",0.135495126657741,1,4745,""
"9022","KRTAP10-1",0.0109431759028757,1,433,""
"9026","KRTAP10-2",0.00993736929415548,1,386,""
"9035","KRTAP12-1",0.00559012051754224,1,222,""
"9040","KRTAP13-2",0.0986262323943715,1,3662,""
"9045","KRTAP17-1",0.11286183008405,1,4105,""
"9046","KRTAP19-1",0.13419307049788,1,4705,""
"9050","KRTAP19-5",0.00412324359280995,1,169,""
"9056","KRTAP2-3",0.227914838103958,1,6886,""
"9060","KRTAP20-3",0.14668807168921,1,5038.5,""
"9061","KRTAP20-4",0.0179331353563722,1,715,""
"9073","KRTAP3-1",0.180291545157229,1,5872,""
"9074","KRTAP3-2",0.0353785617539107,1,1370,""
"9075","KRTAP3-3",0.108439268858745,1,3975,""
"9076","KRTAP4-1",0.197419627633134,1,6253,""
"9077","KRTAP4-11",0.0601797217186502,1,2291.5,""
"9079","KRTAP4-16",0.0669729001810401,1,2546,""
"9083","KRTAP4-5",0.0263286282519094,1,1028,""
"9084","KRTAP4-6",0.154905875433805,1,5251,""
"9085","KRTAP4-7",0.165494234726288,1,5510,""
"9088","KRTAP5-1",0.0350248016924966,1,1357,""
"9089","KRTAP5-10",0.136988035372654,1,4782,""
"9091","KRTAP5-2",0.0631805658481747,1,2405,""
"9094","KRTAP5-5",0.0225673956444938,1,898,""
"9098","KRTAP5-9",0.168621719772684,1,5588,""
"9099","KRTAP6-1",0.0470705716308805,1,1812,""
"9107","KRTAP9-4",0.154210536904041,1,5232,""
"9110","KRTAP9-8",0.0826009870395564,1,3103,""
"9112","KRTCAP2",0.160737407180639,1,5400,""
"9113","KRTCAP3",0.110327209123184,1,4034,""
"9114","KRTDAP",0.217078360648963,1,6671,""
"9117","KTI12",0.155833520739281,1,5273,""
"9118","KTN1",0.132973585856465,1,4666,""
"9121","KYAT1",0.0860326834909905,1,3244,""
"9122","KYAT3",0.301256006336718,1,7972,""
"9123","KYNU",0.128984615332043,1,4553,""
"9124","L1CAM",0.120812816014924,1,4323,""
"9125","L1TD1",0.0121206878449503,1,490,""
"9126","L2HGDH",0.0889075544424359,1,3335,""
"9130","L3MBTL3",0.0858134919174112,1,3236,""
"9132","LACC1",0.21314563070701,1,6582,""
"9134","LACTB",0.0952552599166655,1,3546,""
"9135","LACTB2",0.0377880119861206,1,1458,""
"9136","LACTBL1",0.131643141259547,1,4627,""
"9137","LAD1",0.418763846157439,0.465568203629052,8807,""
"9141","LAIR2",0.218283084085241,1,6692,""
"9142","LALBA",0.0548756385594334,1,2112,""
"9144","LAMA2",0.142405766673396,1,4924,""
"9145","LAMA3",0.683463282913626,4.57200529471041e-10,9118,"LAMA3"
"9147","LAMA5",0.204509425842089,1,6417,""
"9148","LAMB1",0.149618203073438,1,5118,""
"9150","LAMB3",0.707251265940073,2.24703733496464e-11,9122,"LAMB3"
"9152","LAMC1",0.122825927199128,1,4379,""
"9153","LAMC2",0.695837343182858,9.8914993725558e-11,9119,"LAMC2"
"9155","LAMP1",0.292963227368804,1,7860,""
"9156","LAMP2",0.116120452836182,1,4201,""
"9157","LAMP3",0.41402323855766,0.586609619292363,8793,""
"9159","LAMTOR1",0.243940677082382,1,7154,""
"9161","LAMTOR3",0.148857687180448,1,5098,""
"9163","LAMTOR5",0.254635931929736,1,7330,""
"9166","LANCL3",0.0663924781262748,1,2527,""
"9168","LAPTM4A",0.0764008454765604,1,2873,""
"9170","LAPTM5",0.375783767796855,1,8628,""
