"","column","cor","p.adj","corr_order","label"
"547","ZFYVE16",0.000527337876019789,1,18,""
"548","RIPOR1",0.0532975905877046,1,2105,""
"550","RAI14",0.0148669179325435,1,636,""
"552","PNKP",0.0030727318964927,1,135,""
"554","PHLPP2",0.0611810349924228,1,2360,""
"555","SPDL1",0.209902998063961,0.217587152274818,5458,""
"557","SLC66A1",0.0688012826056218,1,2619,""
"558","CTNS",0.0337008691825919,1,1385,""
"559","RTN4R",0.0026020281979276,1,112,""
"560","PHF23",0.10852461070344,1,3701,""
"563","RAB27B",0.123587822295592,1,4038,""
"564","PSMA4",0.11326031589868,1,3808,""
"565","MYO16",0.19136530189327,1,5227,""
"568","TNC",0.207311504796441,0.276793757299866,5433,""
"570","RIPOR3",0.0805382306252599,1,2952,""
"571","TDP1",0.0480597859834945,1,1903,""
"573","SPATA7",0.138712293358243,1,4356,""
"576","CAPG",0.0878771467892429,1,3152,""
"577","AP2S1",0.175382660189403,1,4967,""
"582","BARX2",0.264311974852113,0.000640593451358919,5923,""
"587","TRIT1",0.119621043906089,1,3959,""
"591","CTNNA1",0.0496277204314777,1,1964,""
"595","HSPA5",0.270504598310328,0.00029985717156849,5978,""
"599","GPM6B",0.0338732106613289,1,1388,""
"603","YTHDC2",0.0395517755547045,1,1586,""
"605","ATP6V1H",0.211619956556384,0.185323880210927,5473,""
"606","POLR2B",0.081050227485052,1,2967,""
"607","ARAP2",0.03021867268671,1,1256,""
"614","C12orf4",0.0600687197787791,1,2335,""
"619","MAP4",0.201828779998533,0.454327910119499,5362,""
"620","GOPC",0.121875348159041,1,3998,""
"621","ROS1",0.187559929747137,1,5176,""
"623","HDAC9",0.277200125869175,0.000128815152751339,6034,""
"624","TSPAN17",0.147292218243639,1,4513,""
"625","NOP16",0.228087713447755,0.036779713672806,5629,""
"630","SNX29",0.170921354566214,1,4900,""
"632","MRPS10",0.322332359810133,2.2902066319817e-07,6241,""
"635","VPS13D",0.0418129063564255,1,1681,""
"637","FAM120A",0.0365201725355702,1,1477,""
"641","ERCC8",0.0467548501179046,1,1856,""
"642","ADAMTS6",0.161847440126937,1,4778,""
"644","VAMP3",0.381119842242358,1.00668881360588e-11,6409,""
"645","PER3",0.0949411617040108,1,3349,""
"649","LTBP1",0.337854138226782,1.98527523138524e-08,6290,""
"654","CLPTM1L",0.0132090672217949,1,567,""
"658","HEXB",0.0980954247625836,1,3441,""
"659","PTCD2",0.0334035983533318,1,1375,""
"661","JKAMP",0.29140948630044,1.98028600564809e-05,6107,""
"662","DKK3",0.264282933533734,0.000642804671301754,5922,""
"666","LIMA1",0.412820280766125,1.79135283029121e-14,6471,""
"669","LAMC3",0.00195712223789358,1,84,""
"671","TNIP3",0.152949613912265,1,4615,""
"672","MAPK9",0.036450262231765,1,1468,""
"674","BCAR1",0.282576870654403,6.42980762987632e-05,6063,""
"676","HOMER3",0.303881540285231,3.49358330069471e-06,6155,""
"677","RAD51",0.133758558742345,1,4262,""
"685","PRSS8",0.051608678334345,1,2048,""
"686","SIKE1",0.117746286612532,1,3916,""
"687","RRP12",0.146753627776156,1,4503,""
"688","FNIP2",0.0847326506625495,1,3067,""
"689","MSMO1",0.135812902064274,1,4304,""
"695","AKR7A2",0.0333805274229504,1,1374,""
"696","MRTO4",0.342604281075464,9.12843314747215e-09,6300,""
"699","MCF2L2",0.151218997063744,1,4584,""
"701","LAMA3",0.514202856621314,1.67378173352323e-25,6588,"LAMA3"
"703","ANAPC4",0.096326244932508,1,3390,""
"705","TRAPPC3",0.311282522656745,1.19935529744149e-06,6194,""
"706","THRAP3",0.0681278165329252,1,2599,""
"707","PHPT1",0.0237645497735968,1,978,""
"708","ENTPD2",0.184603273260612,1,5129,""
"711","OPN3",0.187919472770111,1,5179,""
"713","PTPRN",0.146680721630593,1,4500,""
"715","KIF1B",0.00732815707576914,1,331,""
"716","FOXC1",0.0600526301033249,1,2333,""
"719","PLEKHH1",0.0261718178774217,1,1084,""
"725","RELT",0.205732756876198,0.319801269337695,5406,""
"727","NOP58",0.0395996170550665,1,1588,""
"728","SZRD1",0.200532024880551,0.509884249485783,5346,""
"731","FAM114A2",0.263643994756507,0.000694675179243717,5918,""
"733","TAB2",0.112162081209759,1,3785,""
"734","GINM1",0.112221279146715,1,3789,""
